tests with processor pinned:

32-bit DIGITs, AVX enabled.  Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz   3.41 GHz.  16 GB RAM
SpeedCheckBasicMultiply
Size (BYTEs): 76 Size (DIGITs): 19      Register block size: 1  Iterations: 10000000    Time: 3970168
Size (BYTEs): 76 Size (DIGITs): 19      Register block size: 2  Iterations: 10000000    Time: 3214200
Size (BYTEs): 76 Size (DIGITs): 19      Register block size: 3  Iterations: 10000000    Time: 2881307
Size (BYTEs): 76 Size (DIGITs): 19      Register block size: 4  Iterations: 10000000    Time: 3026838
Size (BYTEs): 76 Size (DIGITs): 19      Register block size: 5  Iterations: 10000000    Time: 3340945
Size (BYTEs): 76 Size (DIGITs): 19      Register block size: 6  Iterations: 10000000    Time: 2825375
Size (BYTEs): 80 Size (DIGITs): 20      Register block size: 1  Iterations: 10000000    Time: 4453802
Size (BYTEs): 80 Size (DIGITs): 20      Register block size: 2  Iterations: 10000000    Time: 3660179
Size (BYTEs): 80 Size (DIGITs): 20      Register block size: 3  Iterations: 10000000    Time: 3563181
Size (BYTEs): 80 Size (DIGITs): 20      Register block size: 4  Iterations: 10000000    Time: 3084251
Size (BYTEs): 80 Size (DIGITs): 20      Register block size: 5  Iterations: 10000000    Time: 3136323
Size (BYTEs): 80 Size (DIGITs): 20      Register block size: 6  Iterations: 10000000    Time: 3143210
Size (BYTEs): 84 Size (DIGITs): 21      Register block size: 1  Iterations: 10000000    Time: 4694508
Size (BYTEs): 84 Size (DIGITs): 21      Register block size: 2  Iterations: 10000000    Time: 3654480
Size (BYTEs): 84 Size (DIGITs): 21      Register block size: 3  Iterations: 10000000    Time: 3393387
Size (BYTEs): 84 Size (DIGITs): 21      Register block size: 4  Iterations: 10000000    Time: 3010605
Size (BYTEs): 84 Size (DIGITs): 21      Register block size: 5  Iterations: 10000000    Time: 3098504
Size (BYTEs): 84 Size (DIGITs): 21      Register block size: 6  Iterations: 10000000    Time: 3698767
Size (BYTEs): 88 Size (DIGITs): 22      Register block size: 1  Iterations: 10000000    Time: 5129451
Size (BYTEs): 88 Size (DIGITs): 22      Register block size: 2  Iterations: 10000000    Time: 3892391
Size (BYTEs): 88 Size (DIGITs): 22      Register block size: 3  Iterations: 10000000    Time: 3443525
Size (BYTEs): 88 Size (DIGITs): 22      Register block size: 4  Iterations: 10000000    Time: 3463118
Size (BYTEs): 88 Size (DIGITs): 22      Register block size: 5  Iterations: 10000000    Time: 3437646
Size (BYTEs): 88 Size (DIGITs): 22      Register block size: 6  Iterations: 10000000    Time: 3903350
Size (BYTEs): 92 Size (DIGITs): 23      Register block size: 1  Iterations: 10000000    Time: 5465922
Size (BYTEs): 92 Size (DIGITs): 23      Register block size: 2  Iterations: 10000000    Time: 4744337
Size (BYTEs): 92 Size (DIGITs): 23      Register block size: 3  Iterations: 10000000    Time: 4337075
Size (BYTEs): 92 Size (DIGITs): 23      Register block size: 4  Iterations: 10000000    Time: 3936931
Size (BYTEs): 92 Size (DIGITs): 23      Register block size: 5  Iterations: 10000000    Time: 3996421
Size (BYTEs): 92 Size (DIGITs): 23      Register block size: 6  Iterations: 10000000    Time: 4419628
Size (BYTEs): 96 Size (DIGITs): 24      Register block size: 1  Iterations: 10000000    Time: 5972799
Size (BYTEs): 96 Size (DIGITs): 24      Register block size: 2  Iterations: 10000000    Time: 4676085
Size (BYTEs): 96 Size (DIGITs): 24      Register block size: 3  Iterations: 10000000    Time: 4176764
Size (BYTEs): 96 Size (DIGITs): 24      Register block size: 4  Iterations: 10000000    Time: 3977524
Size (BYTEs): 96 Size (DIGITs): 24      Register block size: 5  Iterations: 10000000    Time: 4501080
Size (BYTEs): 96 Size (DIGITs): 24      Register block size: 6  Iterations: 10000000    Time: 4581031
Size (BYTEs): 100 Size (DIGITs): 25     Register block size: 1  Iterations: 10000000    Time: 6571929
